id,name/first,age,street,city,zip,dollar
1,Jonathan,50,Kagrer Court,Besujekaf,11254,$5701.57
2,Lucy,59,Rirog Grove,Esigavake,88472,$2868.91
3,Manuel,63,Naor Heights,Toziltac,48472,$2356.21
4,Ronnie,18,Bapmos Pass,Haroncuw,81370,$3113.75
5,Justin,38,Boda Court,Mifrunuf,22087,$3496.70
6,Michael,63,Behpif Road,Itukirba,85001,$4513.09
7,Georgie,43,Neeh Center,Jicrosu,63225,$5889.09
8,Jerome,56,Affe Pike,Igepehbef,83758,$9141.29
9,Adeline,63,Folun Boulevard,Conizojip,57458,$2299.99
10,Abbie,58,Owuapo Pass,Kucijgut,38320,$1100.78
11,Belle,23,Sucda Square,Gibiaga,40540,$4292.52
12,Anthony,63,Gibe Pass,Fibami,36439,$1454.55
13,Christina,40,Ebulak Parkway,Jigreko,60024,$7274.95
14,Evan,22,Dezfak Street,Vucjoge,64648,$2858.79
15,Augusta,53,Penoc Street,Oporvu,80985,$7833.17
16,Alfred,60,Lakro River,Gonirego,59019,$7848.56
17,Christopher,32,Peunu Lane,Abebebo,44716,$7553.22
18,Julian,40,Leda River,Zavcoruh,16567,$9084.44
19,Lura,28,Ceaki Street,Tohsobzo,87351,$6534.36
20,Darrell,35,Jaaba Circle,Defeur,95078,$771.18
21,Isabella,25,Rasu Point,Jebunar,67043,$6934.66
22,Cecelia,33,Cuduf Court,Hecsondej,38633,$2671.49
23,Lola,25,Paom Glen,Mozgocec,80797,$3191.09
24,Jason,29,Osze Boulevard,Nuhzoski,98227,$8254.01
25,Augusta,39,Ebeta Drive,Rambude,59276,$5415.19
26,Loretta,18,Biep Turnpike,Mouguje,53762,$3384.42
27,Kyle,42,Cuzi Heights,Pozholok,56290,$14.27
28,Tyler,43,Zoja Grove,Fazlowa,98871,$1335.34
29,Bess,21,Tiwvub Court,Dekzoeri,2422,$5794.69
30,Georgia,50,Wafe Court,Howewnes,17388,$9709.33
31,Belle,38,Imisi Ridge,Valdivis,72254,$2926.18
32,Keith,22,Efros Trail,Giluwe,62513,$633.42
33,Maurice,38,Uriwi Way,Hojume,52119,$761.80
34,Iva,44,Fakew Manor,Nonsefda,38695,$6913.61
35,Bill,47,Osfev River,Omehwu,26766,$9224.95
36,Jacob,34,Lotpu Path,Bebradhiw,37543,$518.12
37,Lily,45,Tifup Pike,Bucawuv,83161,$7224.01
38,Zachary,65,Owza Key,Lovmamuh,45285,$4178.36
39,Keith,58,Vilah Pike,Suvueve,44445,$1941.67
40,Kevin,34,Mihsaj Path,Kanalil,17677,$8644.78
41,Nannie,56,Ifpi Ridge,Hiwkolwid,84200,$7595.74
42,Hallie,28,Nekdu Pike,Caketcuc,18534,$9342.29
43,Glenn,34,Calcu Turnpike,Cawbusi,5982,$480.06
44,Johnny,51,Sepjad Mill,Obafulpi,53739,$9563.57
45,Abbie,44,Zecor Key,Fubcoje,86103,$6165.28
46,Brett,57,Sejde Road,Ithomdah,18733,$9636.34
47,Amanda,59,Bais Center,Hesgegce,89076,$3079.30
48,Leonard,53,Vada Lane,Buebram,68004,$3255.19
49,Viola,34,Oszac Mill,Fugwesiw,49926,$7767.69
50,Lizzie,52,Jisim Drive,Gafmigke,38783,$4193.04
51,Antonio,33,Meop Ridge,Dopado,51026,$5250.10
52,Eula,28,Mutwa Ridge,Sohwabi,56850,$1468.67
53,Sophia,61,Fevic Key,Jebfuhe,39167,$9644.86
54,Rosie,61,Kiebo Key,Jawcemlo,53523,$5044.99
55,Clarence,20,Rapop View,Mupcumic,10462,$3672.88
56,Gavin,22,Kifi Terrace,Sofibe,43645,$4697.41
57,Julian,42,Kagzuv Place,Mogilin,58082,$4956.53
58,Clyde,40,Vudwil Terrace,Jihega,78943,$2275.29
59,Douglas,19,Fudara Court,Anfeljur,84046,$5170.82
60,Jeremiah,61,Ginpe Drive,Esocoazu,76015,$7324.01
61,Hunter,25,Gekaz Road,Fauluic,18316,$9588.94
62,Eula,49,Tehu Junction,Cuwate,69546,$5894.97
63,Sallie,55,Ciag Court,Cavolevuh,67520,$7458.29
64,Harriet,24,Codone Court,Cuczakof,32670,$1239.11
65,Christina,28,Ohesic Trail,Erolecu,82199,$9395.38
66,Mittie,43,Utoik Mill,Guwifsun,59338,$7138.98
67,Cynthia,36,Cimra Junction,Ujpejhe,97650,$947.28
68,Mason,31,Zibowa Boulevard,Codfobwa,62533,$8100.59
69,Mabel,22,Taot Pass,Obeopole,72759,$3639.25
70,Danny,45,Hicpu View,Cucreav,38277,$9373.28
71,Beatrice,57,Detno Heights,Himkatate,84025,$8164.44
72,Logan,48,Ozpa Lane,Polfeggon,1461,$3544.92
73,Hannah,46,Egnev Key,Zetjupu,19988,$5550.41
74,Earl,53,Ekka Grove,Moelutu,8071,$4050.28
75,Frank,33,Beja Court,Orejukeh,84887,$7601.72
76,Phillip,46,Lora Street,Bikekut,62509,$5449.74
77,Mae,64,Hunok Park,Zeahit,77854,$1941.36
78,Matthew,61,Zife River,Ruggepep,99359,$894.56
79,Lilly,42,Bomdu Pass,Mihibha,69578,$9849.55
80,Devin,52,Fonit Key,Gadumena,44489,$1200.35
81,Adele,31,Wigme River,Odrabim,43585,$6835.61
82,Caroline,55,Jolog Turnpike,Roldeka,15144,$782.88
83,Bess,21,Ufuidu Plaza,Asuluez,30855,$6948.38
84,Cody,32,Ciok Highway,Ecigoohi,21893,$8000.77
85,Lucas,36,Kovda Square,Kemozew,34892,$5684.68
86,Bill,52,Jihe Glen,Tuvgibo,6481,$7223.19
87,Jack,37,Sewoc Ridge,Awuijbeh,90865,$5839.31
88,Cordelia,29,Tiwu Pike,Manneid,69160,$7031.07
89,Danny,30,Nolom Street,Vapijcup,13041,$4514.48
90,Mary,21,Komic Glen,Zujwuop,86749,$3003.90
91,Polly,62,Heka Street,Icrodgi,41976,$9872.38
92,Etta,60,Kedu Turnpike,Biiriim,43811,$3353.45
93,Danny,35,Hugec Place,Wumlufa,10257,$6195.99
94,Hettie,30,Haba Drive,Mejokmej,73195,$864.84
95,Eva,57,Lome Way,Beveeb,92363,$2295.01
96,Anne,41,Fouze Point,Emuadnoh,20071,$3947.79
97,Daisy,18,Waopa Park,Ozuivomu,17147,$5869.62
98,Nannie,30,Urzu Point,Araokfa,4657,$1361.06
99,Eula,33,Tathi Street,Pacojuv,1366,$7549.89
100,Henrietta,44,Waplod Turnpike,Cibijgok,22941,$5463.28
101,Hilda,51,Gopana Pike,Mipgavem,17935,$5003.35
102,Douglas,24,Cegrom Place,Tigubsaf,19487,$9192.41
103,Isabel,20,Guhliw Loop,Pemwuvoto,2162,$6341.35
104,Emma,26,Cukra Turnpike,Cibfialo,60102,$626.89
105,Roxie,51,Okuwi Court,Pufmebu,51552,$3932.78
106,Lula,20,Mecce Manor,Tejrujto,4616,$1930.92
107,Landon,46,Birib Street,Orojalzuh,11714,$5662.64
108,Anne,40,Cakce Turnpike,Hufetiv,9660,$9478.23
109,Roger,64,Tuwi Ridge,Joulsif,10448,$5785.22
110,Dennis,47,Pemat Terrace,Vewethad,43530,$653.03
111,Lettie,62,Kiwzoj Loop,Sahkojut,95291,$7665.58
112,Frank,61,Lucho Key,Ofcohi,31542,$4784.52
113,Gabriel,62,Zuefi Grove,Goblaznal,80156,$1148.97
114,Madge,29,Revik View,Batofat,91007,$5716.98
